[(75.467709, -0.475), (75.467709, 0.475), (82.012837, 0.475), (82.012837, -0.475), (75.467709, -0.475)] nb_sync_grad:up_pipe
[(284.852609, -0.475), (284.852609, 0.475), (291.309192, 0.475), (291.309192, -0.475), (284.852609, -0.475)] nb_sync_grad:up_pipe
[(482.777784, -0.475), (482.777784, 0.475), (489.368368, 0.475), (489.368368, -0.475), (482.777784, -0.475)] nb_sync_grad:up_pipe
avg duration 200.427882
[(0.0, 0.525), (0.0, 1.475), (14.117246, 1.475), (14.117246, 0.525), (0.0, 0.525)] call_forward
[(203.087252, 0.525), (203.087252, 1.475), (217.668792, 1.475), (217.668792, 0.525), (203.087252, 0.525)] call_forward
[(407.45753, 0.525), (407.45753, 1.475), (421.652121, 1.475), (421.652121, 0.525), (407.45753, 0.525)] call_forward
[(18.898398, 0.525), (18.898398, 1.475), (33.725991, 1.475), (33.725991, 0.525), (18.898398, 0.525)] call_forward:up_pipe
[(219.005323, 0.525), (219.005323, 1.475), (233.634768, 1.475), (233.634768, 0.525), (219.005323, 0.525)] call_forward:up_pipe
[(432.579853, 0.525), (432.579853, 1.475), (447.306003, 1.475), (447.306003, 0.525), (432.579853, 0.525)] call_forward:up_pipe
[(33.965609, 0.525), (33.965609, 1.475), (54.29094, 1.475), (54.29094, 0.525), (33.965609, 0.525)] call_backward:up_pipe
[(234.385242, 0.525), (234.385242, 1.475), (254.385256, 1.475), (254.385256, 0.525), (234.385242, 0.525)] call_backward:up_pipe
[(447.582711, 0.525), (447.582711, 1.475), (467.401986, 1.475), (467.401986, 0.525), (447.582711, 0.525)] call_backward:up_pipe
[(56.137813, 0.525), (56.137813, 1.475), (75.565628, 1.475), (75.565628, 0.525), (56.137813, 0.525)] call_backward
[(259.873746, 0.525), (259.873746, 1.475), (279.223511, 1.475), (279.223511, 0.525), (259.873746, 0.525)] call_backward
[(470.696207, 0.525), (470.696207, 1.475), (489.943122, 1.475), (489.943122, 0.525), (470.696207, 0.525)] call_backward
[(75.56678, 0.525), (75.56678, 1.475), (82.276662, 1.475), (82.276662, 0.525), (75.56678, 0.525)] nb_sync_grad:up_pipe
[(279.224759, 0.525), (279.224759, 1.475), (285.647757, 1.475), (285.647757, 0.525), (279.224759, 0.525)] nb_sync_grad:up_pipe
[(490.123221, 0.525), (490.123221, 1.475), (497.288789, 1.475), (497.288789, 0.525), (490.123221, 0.525)] nb_sync_grad:up_pipe
[(0.230089, -0.475), (0.230089, 0.475), (15.950208, 0.475), (15.950208, -0.475), (0.230089, -0.475)] call_forward:up_pipe
[(198.743539, -0.475), (198.743539, 0.475), (213.814435, 0.475), (213.814435, -0.475), (198.743539, -0.475)] call_forward:up_pipe
[(414.773642, -0.475), (414.773642, 0.475), (430.349345, 0.475), (430.349345, -0.475), (414.773642, -0.475)] call_forward:up_pipe
[(17.80815, -0.475), (17.80815, 0.475), (33.375723, 0.475), (33.375723, -0.475), (17.80815, -0.475)] call_forward
[(221.468861, -0.475), (221.468861, 0.475), (237.038386, 0.475), (237.038386, -0.475), (221.468861, -0.475)] call_forward
[(432.205877, -0.475), (432.205877, 0.475), (447.773964, 0.475), (447.773964, -0.475), (432.205877, -0.475)] call_forward
